,State,Year,Population,Household Income by Race,Poverty Rate,Dem Margin,Property Value,Median Age,state,state_flag_url,state_seal_url,map_image_url,landscape_background_url,skyline_background_url,twitter_url,governor_name,num_representatives,senator1,senator2,chronically_homeless,diabetes_prevalence
36,Oregon,2018,4190713,63426,0.1255901206425647,0.1097781681836532,341800,39.6,Oregon,https://cdn.civil.services/us-states/flags/oregon-large.png,https://cdn.civil.services/us-states/seals/oregon-large.png,https://cdn.civil.services/us-states/maps/oregon-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/oregon.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/oregon.jpg,,Kate Brown,5,Ron Wyden,Jeff Merkley,578,0.11699999868869781
37,Pennsylvania,2018,12807060,60905,0.1224681297401968,-0.0072426963918316,186000,40.8,Pennsylvania,https://cdn.civil.services/us-states/flags/pennsylvania-large.png,https://cdn.civil.services/us-states/seals/pennsylvania-large.png,https://cdn.civil.services/us-states/maps/pennsylvania-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/pennsylvania.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/pennsylvania.jpg,https://www.facebook.com/visitPA,Tom Wolf,18,Robert P. Casey Jr.,Patrick J. Toomey,3120,0.09300000220537186
38,Rhode Island,2018,1057315,64340,0.1290791947417973,0.1550854907097797,273800,40.0,Rhode Island,https://cdn.civil.services/us-states/flags/rhode-island-large.png,https://cdn.civil.services/us-states/seals/rhode-island-large.png,https://cdn.civil.services/us-states/maps/rhode-island-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/rhode-island.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/rhode-island.jpg,https://twitter.com/rigov,Daniel J. McKee,2,Jack Reed,Sheldon Whitehouse,1372,0.10599999874830246
39,South Carolina,2018,5084127,52306,0.1527305503974515,-0.1426591289603034,170800,39.7,South Carolina,https://cdn.civil.services/us-states/flags/south-carolina-large.png,https://cdn.civil.services/us-states/seals/south-carolina-large.png,https://cdn.civil.services/us-states/maps/south-carolina-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/south-carolina.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/south-carolina.jpg,https://twitter.com/scgov,Henry McMaster,7,Tim Scott,Lindsey Graham,240,0.09300000220537186
40,South Dakota,2018,882235,56274,0.1309520318059545,-0.2979332221900981,171500,37.2,South Dakota,https://cdn.civil.services/us-states/flags/south-dakota-large.png,https://cdn.civil.services/us-states/seals/south-dakota-large.png,https://cdn.civil.services/us-states/maps/south-dakota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/south-dakota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/south-dakota.jpg,,Kristi Noem,1,John Thune,Mike Rounds,792,0.125
41,Tennessee,2018,6770010,52375,0.153114343406563,-0.2600570089556452,177500,38.9,Tennessee,https://cdn.civil.services/us-states/flags/tennessee-large.png,https://cdn.civil.services/us-states/seals/tennessee-large.png,https://cdn.civil.services/us-states/maps/tennessee-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/tennessee.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/tennessee.jpg,https://twitter.com/TNVacation,Bill Lee,9,Bill Hagerty,Marsha Blackburn,101,0.09200000017881393
42,Texas,2018,28701845,60629,0.1489132176649668,-0.0899942759832342,186000,34.9,Texas,https://cdn.civil.services/us-states/flags/texas-large.png,https://cdn.civil.services/us-states/seals/texas-large.png,https://cdn.civil.services/us-states/maps/texas-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/texas.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/texas.jpg,https://twitter.com/texasgov,Greg Abbott,36,John Cornyn,Ted Cruz,1295,0.12800000607967377
43,Utah,2018,3161105,71414,0.0902533121779112,-0.180795479958314,303300,31.0,Utah,https://cdn.civil.services/us-states/flags/utah-large.png,https://cdn.civil.services/us-states/seals/utah-large.png,https://cdn.civil.services/us-states/maps/utah-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/utah.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/utah.jpg,https://twitter.com/UtahGov,Spencer J. Cox,4,Mitt Romney,Mike Lee,3497,0.09700000286102295
44,Vermont,2018,626299,60782,0.1097909227440329,0.2596335972190584,233100,43.1,Vermont,https://cdn.civil.services/us-states/flags/vermont-large.png,https://cdn.civil.services/us-states/seals/vermont-large.png,https://cdn.civil.services/us-states/maps/vermont-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/vermont.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/vermont.jpg,https://twitter.com/vermontgov,Phil Scott,1,Bernie Sanders,Patrick J. Leahy,163,0.07000000029802322
45,Virginia,2018,8517685,72577,0.1070470511290105,0.0532370581949365,281700,38.3,Virginia,https://cdn.civil.services/us-states/flags/virginia-large.png,https://cdn.civil.services/us-states/seals/virginia-large.png,https://cdn.civil.services/us-states/maps/virginia-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/virginia.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/virginia.jpg,,Ralph S. Northam,11,Mark R. Warner,Tim Kaine,111,0.07900000363588333
46,Washington,2018,7535591,74073,0.1025616044846354,0.1570599987518913,373100,37.7,Washington,https://cdn.civil.services/us-states/flags/washington-large.png,https://cdn.civil.services/us-states/seals/washington-large.png,https://cdn.civil.services/us-states/maps/washington-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/washington.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/washington.jpg,https://twitter.com/wagov,Jay Inslee,10,Patty Murray,Maria Cantwell,864,0.09700000286102295
47,West Virginia,2018,1805832,44097,0.1780395055307286,-0.4215364679384784,121300,42.8,West Virginia,https://cdn.civil.services/us-states/flags/west-virginia-large.png,https://cdn.civil.services/us-states/seals/west-virginia-large.png,https://cdn.civil.services/us-states/maps/west-virginia-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/west-virginia.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/west-virginia.jpg,https://twitter.com/wvgov,Jim Justice,3,Joe Manchin III,Shelley Moore Capito,4357,0.08500000089406967
48,Wisconsin,2018,5813568,60773,0.1104693906766507,-0.0076434319506745,188500,39.6,Wisconsin,https://cdn.civil.services/us-states/flags/wisconsin-large.png,https://cdn.civil.services/us-states/seals/wisconsin-large.png,https://cdn.civil.services/us-states/maps/wisconsin-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/wisconsin.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/wisconsin.jpg,,Tony Evers,8,Tammy Baldwin,Ron Johnson,188,0.13899999856948853
49,Wyoming,2018,577737,61584,0.1105855080284145,-0.4576951017821538,230500,38.5,Wyoming,https://cdn.civil.services/us-states/flags/wyoming-large.png,https://cdn.civil.services/us-states/seals/wyoming-large.png,https://cdn.civil.services/us-states/maps/wyoming-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/wyoming.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/wyoming.jpg,,Mark Gordon,1,John Barrasso,Cynthia M. Lummis,342,0.08900000154972076
